Section,SectionName,Kod,Name,Notes,SubKod1,SubKod2,SubKod3
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.1,Растениеводство,,1,1.0,
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.11,"Выращивание зерновых, технических и прочих сельскохозяйственных  культур, не включенных в другие группировки",,1,11.0,
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.11.1,Выращивание зерновых и зернобобовых культур,"выращивание твердой и мягкой  пшеницы, ржи, ячменя, овса, кукурузы, риса и  прочих зерновых  культур выращивание и сушку зернобобовых культур (гороха,  фасоли, бобов) выращивание семян, в том числе элитных и  репродукционных семян,  предназначенных для реализации Эта  группировка не включает: выращивание сахарной кукурузы, см.  01.12.1",1,11.0,1.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.11.2,"Выращивание картофеля, столовых корнеплодных и клубнеплодных культур  с высоким содержанием крахмала или инулина","выращивание картофеля  выращивание столовых корнеплодных и клубнеплодных культур с  высоким  содержанием крахмала или инулина выращивание семян и  посадочного материала, в том числе элитных и  репродукционных,  предназначенных для реализации",1,11.0,2.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.11.3,Выращивание масличных культур,"выращивание семян и плодов  масличных культур: подсолнечника, сурепицы,  горчицы, рапса,  соевых бобов и других масличных культур выращивание элитных  семян и репродукционных семян, предназначенных для  реализации",1,11.0,3.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.11.4,Выращивание табака и махорки,"выращивание табака и махорки и их  первичную обработку: сушку листьев табака и  махорки  выращивание семян, в том числе элитных и репродукционных,  предназначенных  для реализации",1,11.0,4.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.11.5,Выращивание сахарной свеклы,"выращивание сахарной свеклы  выращивание семян и маточников сахарной свеклы, в том числе  элитных и  репродукционных, предназначенных для реализации",1,11.0,5.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.11.6,Выращивание кормовых культур; заготовка растительных кормов,"выращивание корнеплодных кормовых  культур (кормовой свеклы, кормовой  моркови, турнепса), бахчевых  и зернобобовых кормовых культур выращивание силосных кормовых  культур (подсолнечника, кукурузы, кормовой  капусты и т.п.)  выращивание однолетних и многолетних кормовых трав заготовку  сена и производство растительных кормов (силоса, сенажа, травяной  муки) выращивание семян кормовых культур, в том числе элитных  и репродукционных,  предназначенных для реализации",1,11.0,6.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.11.7,Выращивание прядильных культур,"выращивание прядильных культур  (льна-долгунца, обыкновенной конопли,  хлопчатника и др.)  мочку растений, из которых получают растительное текстильное  волокно выращивание семян прядильных культур, в том числе  элитных семян и  репродукционных семян, предназначенных для  реализации",1,11.0,7.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.11.8,"Выращивание прочих сельскохозяйственных культур, не включенных в  другие группировки","выращивание растений, используемых  в качестве пестицидов выращивание растений, используемых, в  основном, в парфюмерии, фармации и  для аналогичных целей  выращивание хмеля выращивание сельскохозяйственных культур, не  включенных в другие  группировки",1,11.0,8.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.12,Овощеводство; декоративное садоводство и производство продукции  питомников,,1,12.0,
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.12.1,Овощеводство,"выращивание томатов, дынь, лука,  капусты, салата, огурцов, моркови, столовой  свеклы, фасоли,  бобов, кресс-салата, сахарной кукурузы, кабачков, баклажанов,  лука-порея, перца выращивание зеленных культур, используемых  как приправы (каперсов, укропа,  петрушки, кервеля, эстрагона,  майорана) выращивание семян овощных культур, в том числе  элитных семян и  репродукционных семян, предназначенных для  реализации",1,12.0,1.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.12.2,Декоративное садоводство и производство продукции питомников,"выращивание цветов производство  семян, луковиц и клубней цветов выращивание рассады и растений  для декоративных целей, включая выращивание  дернины для  пересадки",1,12.0,2.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.12.3,"Выращивание грибов, сбор лесных грибов и трюфелей",,1,12.0,3.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.12.31,Выращивание грибов и грибницы (мицелия),,1,12.0,31.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.12.32,Сбор лесных грибов и трюфелей,,1,12.0,32.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.13,"Выращивание фруктов, орехов, культур для производства напитков и  пряностей",,1,13.0,
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.13.1,Выращивание винограда,"выращивание винограда на вино и  столового винограда производство вина из винограда,  выращенного данным хозяйством выращивание посадочного  материала виноградных насаждений",1,13.0,1.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.13.2,Выращивание прочих фруктов и орехов,,1,13.0,2.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.13.21,Выращивание плодовых и ягодных культур,"выращивание яблок, слив, вишни,  цитрусовых, абрикосов, персиков, смородины,  малины, крыжовника,  земляники (клубники) и других плодовых культур",1,13.0,21.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.13.22,Выращивание орехов,,1,13.0,22.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.13.23,Выращивание посадочного материала плодовых насаждений,,1,13.0,23.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.13.24,"Сбор дикорастущих плодов, ягод и орехов",,1,13.0,24.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.13.3,Выращивание культур для производства напитков,"выращивание чая производство  зеленого чайного листа (неферментированного), черного чайного  листа (ферментированного) и частично ферментированного чайного  листа",1,13.0,3.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.13.4,Выращивание культур для производства пряностей,"выращивание сельскохозяйственных  культур для производства пряностей:  лаврового листа, базилика,  кориандра, аниса, тмина и т.п.",1,13.0,4.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.2,Животноводство,,1,2.0,
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.21,Разведение крупного рогатого скота,разведение мясного и молочного  крупного рогатого скота разведение племенного крупного  рогатого скота производство сырого коровьего молока и сырого  молока прочего крупного рогатого  скота производство бычьей  спермы,1,21.0,
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.22,"Разведение овец, коз, лошадей, ослов, мулов и лошаков",,1,22.0,
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.22.1,Разведение овец и коз,"разведение овец и коз разведение  племенных овец и коз производство сырого овечьего и козьего  молока производство сырой (немытой) шерсти и пуха  производство спермы баранов и козлов Эта группировка не  включает: переработку козьего молока за пределами фермы, см.  15.51 предоставление услуг по стрижке овец, см. 01.42",1,22.0,1.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.22.2,"Разведение лошадей, ослов, мулов и лошаков","разведение лошадей, ослов, мулов и  лошаков разведение племенных лошадей и ослов производство  сырого кобыльего молока производство спермы жеребцов и ослов",1,22.0,2.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.23,Разведение свиней,"разведение свиней, в том числе  племенных животных производство спермы хряков",1,23.0,
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.24,Разведение сельскохозяйственной птицы,"разведение сельскохозяйственной  птицы (индеек, уток, кур, гусей, цесарок) на  мясо, племенной  птицы и молодняка производство куриных яиц и яиц прочей  сельскохозяйственной птицы",1,24.0,
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.25,Разведение прочих животных,,1,25.0,
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.25.1,Разведение пчел,разведение пчел производство  пчелиного меда и пчелиного воска,1,25.0,1.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.25.2,Разведение кроликов и пушных зверей в условиях фермы,производство пушно-мехового сырья,1,25.0,2.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.25.3,Разведение шелкопряда,производство коконов шелкопряда,1,25.0,3.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.25.4,Разведение оленей,производство сырых и  консервированных пантов,1,25.0,4.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.25.5,Разведение верблюдов,производство сырого верблюжьего  молока,1,25.0,5.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.25.6,Разведение домашних животных,,1,25.0,6.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.25.7,Разведение лабораторных животных,,1,25.0,7.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.25.8,"Разведение водных пресмыкающихся и лягушек в водоемах, разведение  дождевых (калифорнийских) червей",,1,25.0,8.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.25.81,Разведение водных пресмыкающихся и лягушек в водоемах,разведение водных пресмыкающихся и  лягушек в водоемах разведение улиток производство продукции  разведения лягушек и улиток,1,25.0,81.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.25.82,Разведение дождевых (калифорнийских) червей,,1,25.0,82.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.25.9,"Разведение прочих животных, не включенных в другие группировки",,1,25.0,9.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.3,Растениеводство в сочетании с животноводством (смешанное сельское  хозяйство),,1,3.0,
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.30,Растениеводство в сочетании с животноводством (смешанное сельское  хозяйство),растениеводство в сочетании с  животноводством при установленном  коэффициенте специализации в  одной области,1,30.0,
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.4,"Предоставление услуг в области растениеводства и животноводства, кроме  ветеринарных услуг",,1,4.0,
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.41,Предоставление услуг в области растениеводства,,1,41.0,
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.41.1,"Предоставление услуг, связанных с производством сельскохозяйственных  культур","предоставление услуг, связанных с  выращиванием сельскохозяйственных культур,  в том числе: .  подготовку полей . посев, возделывание и выращивание  сельскохозяйственных культур . обработку ядохимикатами семян,  сельскохозяйственных культур и угодий, в том  числе с воздуха .  обрезку фруктовых деревьев и виноградной лозы . пересаживание  риса, рассаживание свеклы . очистку хлопка от семян . уборку  урожая и подготовку сельскохозяйственных культур к сбыту на  рынке предоставление услуг по проверке и подготовке семян,  включая сушку, очистку,  сортировку, протравливание и т.д.  предоставление прочих услуг, относящихся к выращиванию  сельскохозяйственных  культур Эта группировка также включает:  предоставление услуг по защите растений от болезней и вредителей  предоставление сельскохозяйственных машин вместе с экипажем и  оператором",1,41.0,1.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.41.2,"Предоставление услуг по закладке, обработке и содержанию садов, парков  и других зеленых насаждений","предоставление услуг по закладке и  содержанию декоративных садов и парков  отдыха и развлечений,  зеленых насаждений на спортивных площадках, кладбищах и  т.п.  предоставление услуг по обрезке деревьев и живых изгородей Эта  группировка не включает: предоставление услуг в области  ландшафтной архитектуры, а также по  проектированию спортивных  сооружений, см. 74.20.11",1,41.0,2.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.41.3,Предоставление услуг по эксплуатации мелиоративных систем,,1,41.0,3.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.42,"Предоставление услуг в области животноводства, кроме ветеринарных услуг","Эта группировка включает предоставление услуг: по  искусственному осеменению животных по обследованию состояния  стада, перегонке скота, выпасу скота, выхолащиванию  сельскохозяйственной птицы, чистке курятников и т.п. по  стимулированию разведения, прироста и продуктивности животных  по содержанию животных и уходу за ними по стрижке овец по  сортировке яиц",1,42.0,
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.5,"Охота и разведение диких животных, включая предоставление услуг в этих  областях",,1,5.0,
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",01.50,"Охота и разведение диких животных, включая предоставление услуг в этих  областях","охоту, включая ловлю животных, для  получения продуктов питания, шкур, кожи или  для использования в  исследовательских целях, в зоопарках или в качестве  домашних  животных производство пушнины, кожи пресмыкающихся и шкурок  птиц в результате охоты,  в том числе ловли животных  разведение диких животных предоставление услуг по развитию  охоты, в том числе ловли животных, в  коммерческих целях Эта  группировка также включает: добычу морских млекопитающих  (моржей, тюленей и т.п.)",1,50.0,
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",02.0,Лесное хозяйство и предоставление услуг в этой области,,2,0.0,
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",02.01,Лесоводство и лесозаготовки,,2,1.0,
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",02.01.1,Лесозаготовки,заготовку и первичную переработку  лесоматериалов хвойных и лиственных  пород: . валку леса .  раскряжевку хлыстов на сортименты . заготовку сортиментов .  заготовку деревьев с кроной . производство топливной древесины,2,1.0,1.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",02.01.2,Сбор дикорастущих и недревесных лесопродуктов,"сбор смол, растительных соков,  трав, мхов и лишайников, используемых для  декоративных целей,  сбор дикорастущих лубяных и других растений, используемых  для  плетения, набивки, окрашивания или дубления сбор семян для  выращивания дикорастущих растений",2,1.0,2.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",02.01.5,Лесоводство,"выращивание леса: выращивание,  посадку, подсадку, пересадку саженцев,  прореживание и охрану  лесов и лесосек выращивание молодого порослевого леса и  деловой древесины выращивание новогодних елок выращивание  растительных материалов, используемых для плетения выращивание  сеянцев деревьев и кустарников",2,1.0,5.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",02.01.6,Деятельность лесопитомников,,2,1.0,6.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",02.01.61,"Выращивание сеянцев, деревьев и кустарников",,2,1.0,61.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",02.01.69,Выращивание прочей продукции питомников,,2,1.0,69.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",02.02,Предоставление услуг в области лесоводства и лесозаготовок,,2,2.0,
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",02.02.1,Предоставление услуг в области лесоводства,"предоставление услуг по таксации  леса, оценке леса (в аспекте промышленного  использования)  предоставление услуг по защите леса от вредителей и болезней  предоставление услуг по защите леса от пожара и авиационной  охране лесов,  включая тушение лесных пожаров с воздуха  предоставление услуг по лесомелиорации предоставление услуг  лесоустроительными предприятиями, контрольными  станциями лесных  семян, лесными, почвенными и нормативно-исследовательскими  станциями и лабораториями",2,2.0,1.0
A,"СЕЛЬСКОЕ ХОЗЯЙСТВО, ОХОТА И ЛЕСНОЕ ХОЗЯЙСТВО",02.02.2,Предоставление услуг в области лесозаготовок,предоставление услуг по  транспортированию бревен в пределах леса и др.,2,2.0,2.0
B,"РЫБОЛОВСТВО, РЫБОВОДСТВО",05.0,"Рыболовство, рыбоводство и предоставление услуг в этих областях",,5,0.0,
B,"РЫБОЛОВСТВО, РЫБОВОДСТВО",05.01,Рыболовство,,5,1.0,
B,"РЫБОЛОВСТВО, РЫБОВОДСТВО",05.01.1,Рыболовство в открытых районах Мирового океана и внутренних морских  водах,"рыболовство в открытых районах  Мирового океана и внутренних морских водах добычу китов  добычу морских ракообразных и моллюсков добычу морских  черепах, асцидий и других оболочников, морских ежей и т.п. Эта  группировка также включает: добычу морских губок, кораллов и  морских водорослей сбор раковин и панцирей моллюсков,  ракообразных и иглокожих и т.п. добычу природного и  культивированного жемчуга переработку рыбы, ракообразных и  моллюсков на борту рыболовных судов Эта группировка не  включает: добычу морских млекопитающих, кроме китов, например  моржей, тюленей, см.  01.50 спортивно-любительское рыболовство  и предоставление услуг в этой области, см.  92.72 переработку  рыбы, не связанную с рыболовством, т.е. на судах, не  осуществляющих непосредственно лов рыбы, или на рыбозаводах,  расположенных  на берегу, см. 15.20",5,1.0,1.0
B,"РЫБОЛОВСТВО, РЫБОВОДСТВО",05.01.11,Вылов рыбы и водных биоресурсов в открытых районах Мирового океана и  внутренних морских водах сельскохозяйственными товаропроизводителями,,5,1.0,11.0
B,"РЫБОЛОВСТВО, РЫБОВОДСТВО",05.01.12,Вылов рыбы и водных биоресурсов в открытых районах Мирового океана и  внутренних морских водах несельскохозяйственными товаропроизводителями,,5,1.0,12.0
B,"РЫБОЛОВСТВО, РЫБОВОДСТВО",05.01.2,"Рыболовство в реках, озерах, водохранилищах и прудах","рыболовство в реках, озерах,  водохранилищах и прудах добычу пресноводных ракообразных и  моллюсков сбор раковин и панцирей пресноводных моллюсков и  ракообразных",5,1.0,2.0
B,"РЫБОЛОВСТВО, РЫБОВОДСТВО",05.01.21,"Вылов рыбы и водных биоресурсов в реках, озерах, водохранилищах и  прудах сельскохозяйственными товаропроизводителями",,5,1.0,21.0
B,"РЫБОЛОВСТВО, РЫБОВОДСТВО",05.01.22,"Вылов рыбы и водных биоресурсов в реках, озерах, водохранилищах и  прудах несельскохозяйственными товаропроизводителями",,5,1.0,22.0
B,"РЫБОЛОВСТВО, РЫБОВОДСТВО",05.01.3,Предоставление услуг в области рыболовства,предоставление услуг по  аэрорыбразведке предоставление услуг по рыбоохране и  рыбнадзору предоставление услуг по регулированию вылова рыбы,5,1.0,3.0
B,"РЫБОЛОВСТВО, РЫБОВОДСТВО",05.02,Рыбоводство,,5,2.0,
B,"РЫБОЛОВСТВО, РЫБОВОДСТВО",05.02.1,Воспроизводство рыбы и водных биоресурсов,"разведение устричной молоди, мидий,  молоди омаров, лангустов, креветок,  крабов, мальков рыб  селекцию, выращивание и содержание устриц для употребления в  пищу селекцию, выращивание и содержание моллюсков (жемчужниц)  для получения  жемчуга выращивание красных водорослей и других  съедобных морских водорослей морское и пресноводное  рыбоводство",5,2.0,1.0
B,"РЫБОЛОВСТВО, РЫБОВОДСТВО",05.02.11,Воспроизводство рыбы и водных биоресурсов сельскохозяйственными  товаропроизводителями,,5,2.0,11.0
B,"РЫБОЛОВСТВО, РЫБОВОДСТВО",05.02.12,Воспроизводство рыбы и водных биоресурсов несельскохозяйственными  товаропроизводителями,,5,2.0,12.0
B,"РЫБОЛОВСТВО, РЫБОВОДСТВО",05.02.2,"Предоставление услуг, связанных с воспроизводством рыбы и водных  биоресурсов",,5,2.0,2.0
C,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,10.1,"Добыча, обогащение и агломерация каменного угля",,10,1.0,
C,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,10.10,"Добыча, обогащение и агломерация каменного угля",,10,10.0,
C,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,10.10.1,Добыча каменного угля,,10,10.0,1.0
C,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,10.10.11,Добыча каменного угля открытым способом,,10,10.0,11.0
C,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,10.10.12,Добыча каменного угля подземным способом,,10,10.0,12.0
C,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,10.10.2,Обогащение и агломерация каменного угля,,10,10.0,2.0
C,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,10.10.21,Обогащение каменного угля,"подготовку каменного угля к  обогащению (дробление, классификацию, грохочение,  измельчение) и  обогащение каменного угля различными способами извлечение  каменного угля из отвалов",10,10.0,21.0
C,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,10.10.22,Агломерация каменного угля,"агломерацию каменного угля и  производство брикетов и других видов твердого  топлива, состоящих  преимущественно из каменного угля",10,10.0,22.0
C,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,10.2,"Добыча, обогащение и агломерация бурого угля",,10,2.0,
C,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,10.20,"Добыча, обогащение и агломерация бурого угля",,10,20.0,
C,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,10.20.1,Добыча бурого угля (лигнита),,10,20.0,1.0
C,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,10.20.11,Добыча бурого угля открытым способом,,10,20.0,11.0
C,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,10.20.12,Добыча бурого угля подземным способом,,10,20.0,12.0
C,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,10.20.2,Обогащение и агломерация бурого угля,,10,20.0,2.0
C,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,10.20.21,Обогащение бурого угля,"подготовку бурого угля к обогащению  (дробление, классификацию, грохочение,  измельчение) и обогащение  бурого угля различными способами извлечение бурого угля из  отвалов",10,20.0,21.0
C,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,10.20.22,Агломерация бурого угля,"агломерацию бурого угля и  производство брикетов из бурого угля Эта группировка не  включает: производство твердого топлива в коксовых печах, см.  23.10",10,20.0,22.0
C,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,10.3,Добыча и агломерация торфа,,10,3.0,
C,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,10.30,Добыча и агломерация торфа,,10,30.0,
C,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,10.30.1,Добыча торфа,добычу торфа добычу болотной и  торфяной земли,10,30.0,1.0
C,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,10.30.2,Агломерация торфа,агломерацию торфа и производство  торфяных брикетов и полубрикетов,10,30.0,2.0
C,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,11.1,Добыча сырой нефти и природного газа,,11,1.0,
C,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,11.10,Добыча сырой нефти и природного газа,,11,10.0,
C,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,11.10.1,Добыча сырой нефти и нефтяного (попутного) газа; извлечение фракций из  нефтяного (попутного) газа,,11,10.0,1.0
C,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,11.10.11,Добыча сырой нефти и нефтяного (попутного) газа,"добычу сырой нефти декантацию,  обезвоживание, обессоливание нефти добычу нефтяного  (попутного) газа",11,10.0,11.0
C,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,11.10.12,Разделение и извлечение фракций из нефтяного (попутного) газа,,11,10.0,12.0
C,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,11.10.13,"Добыча горючих (битуминозных) сланцев, битуминозного песка и  озокерита",добычу горючих (битуминозных)  сланцев битуминозного песка и озокерита производство сырой  нефти из горючих (битуминозных) сланцев и озокерита,11,10.0,13.0
C,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,11.10.2,Добыча природного газа и газового конденсата,"добычу, обезвоживание и сепарацию  фракций жидких углеводородов и  производство сырого газообразного  углеводорода (природного газа) извлечение метана, этана,  бутана и пропана на месте добычи десульфурацию газа добычу  газового конденсата Эта группировка также включает:  извлечение гелия и сероводорода",11,10.0,2.0
C,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,11.10.3,Сжижение и регазификация природного газа для транспортирования,,11,10.0,3.0
C,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,11.2,Предоставление услуг по добыче нефти и газа,,11,2.0,
C,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,11.20,Предоставление услуг по добыче нефти и газа,,11,20.0,
